t,x,y,z,vx,vy,vz,CD,CL,Cside,Fx,Fy,Fz,Tx,Ty,Tz,rpm,steps,fresh
0.0077377036,0.0024932509,4.128572e-8,1.75,38.98742,0.0012912274,-0.0006516576,1.1834785,0.7291678,0.0064402134,-4.7589126,2.9318564,0.02597416,0.0008600322,-0.0019610673,-0.0024439453,2707.9946236517517,968,16
0.0078016515,0.0049863523,1.6519986e-7,1.7499999,38.98532,0.0025842371,-0.0012673183,0.73826414,0.74498826,-0.00085459364,-2.9684696,2.9951093,-0.0033249503,0.0004016297,-0.0011674763,-0.0014847445,2707.9762835313563,976,0
0.007865599,0.0074793445,3.7269137e-7,1.7499998,38.984013,0.0039051427,-0.0018959006,0.41474897,0.7420411,0.0060806656,-1.6677291,2.9830894,0.024551596,0.00031409474,-0.0014563539,-0.00079553947,2707.96509294942,984,12
0.007929548,0.0099722715,6.644827e-7,1.7499996,38.983276,0.005220747,-0.0025121886,0.42268392,0.7424455,-0.0019414247,-1.6996685,2.9845421,-0.007659121,0.00024915824,-0.0011462991,-0.00090088864,2707.9591868089537,992,0
0.007993496,0.012465151,1.0404248e-6,1.7499994,38.982525,0.0065369923,-0.0031426824,0.79495823,0.7438222,-0.020603195,-3.1962655,2.9896543,-0.08252201,1.0506642e-5,0.00021944668,-0.001276207,2707.952348119993,1000,4
0.008057444,0.014957961,1.5006101e-6,1.7499992,38.981113,0.007855492,-0.0038061922,1.3104283,0.7283607,-0.017010499,-5.268179,2.9267607,-0.06782035,-3.4487442e-5,0.00028309267,-0.0010913156,2707.942711785548,1008,0
0.008121393,0.017450651,2.0442242e-6,1.7499989,38.97879,0.0091462545,-0.004463218,1.7323763,0.73081803,0.0043437723,-6.9635606,2.9357145,0.018296976,0.0005392123,-0.0013688395,-0.0015716936,2707.934629698594,1016,12
0.008185341,0.01994317,2.670506e-6,1.7499986,38.97572,0.010440966,-0.0050822645,1.7656516,0.7499741,-0.0046550003,-7.0963063,3.0119667,-0.017728012,0.00026617627,-0.0008487665,-0.0013069155,2707.922506568163,1024,0
0.008249289,0.02243549,3.3806575e-6,1.7499982,38.97259,0.011769306,-0.005717199,1.4633039,0.78183866,-0.0073952796,-5.8804846,3.1396399,-0.028788442,0.00032371728,-0.00255506,-0.0007721909,2707.9128702337184,1032,12
0.008313238,0.024927627,4.177554e-6,1.7499979,38.969997,0.013153953,-0.006357011,1.0594275,0.7776637,-0.0055073285,-4.257253,3.1227875,-0.021346107,0.00029469482,-0.0016075039,-0.0009201922,2707.906964093252,1040,0
0.008377186,0.027419621,5.062758e-6,1.7499974,38.96812,0.014531167,-0.006993541,0.83758837,0.7568531,-0.015647499,-3.36579,3.0390737,-0.06215684,-0.00014268415,0.00042036144,-0.0015359473,2707.8998145547926,1048,12
0.008441134,0.029911507,6.034852e-6,1.7499969,38.966637,0.015871461,-0.0076480694,0.84990025,0.7628155,-0.015061781,-3.415102,3.0626554,-0.059735987,-0.0001760273,0.0006026529,-0.0013021717,2707.8883131233583,1056,0
0.008505083,0.032403298,7.0929877e-6,1.7499964,38.96513,0.017222157,-0.00830153,0.99110943,0.75297976,0.010322092,-3.982065,3.022542,0.042393427,0.00089426595,-0.0026729645,-0.0012202236,2707.8783659394153,1064,8
0.008569031,0.034894984,8.236932e-6,1.7499958,38.963375,0.01855516,-0.008909949,1.087257,0.7649928,-0.0025820797,-4.3679814,3.0701966,-0.009259922,0.00046716564,-0.001546174,-0.001235738,2707.869040454468,1072,0
0.008632979,0.03738655,9.466792e-6,1.7499952,38.96145,0.01990918,-0.009541149,1.1461682,0.78265435,-0.013023181,-4.6042724,3.1405458,-0.051042415,-3.118177e-5,-0.0008182745,-0.0014480639,2707.8597149695215,1080,4
0.008696928,0.039877996,1.0784231e-5,1.7499946,38.95942,0.021294227,-0.010190776,1.1563153,0.76598704,-0.011908619,-4.6446104,3.0731082,-0.046470083,2.4482963e-5,-0.00068916887,-0.0012602027,2707.8488352370837,1088,0
0.008760876,0.042369306,1.2189289e-5,1.7499939,38.95737,0.022649532,-0.010838386,1.1813005,0.75970757,-0.012221267,-4.7445273,3.0473545,-0.047610525,-0.00019213631,0.000312298,-0.0013763997,2707.8391989026386,1096,16
0.008824824,0.044860486,1.3680653e-5,1.7499932,38.955276,0.02399348,-0.011486499,1.2207386,0.763536,-0.014177287,-4.9024553,3.0621343,-0.055334006,-0.00016373277,0.00052106846,-0.0011012829,2707.828940869197,1104,0
0.008888773,0.04735153,1.5258168e-5,1.7499925,38.953114,0.025343943,-0.012138018,1.2556049,0.78311026,-0.0012489452,-5.042007,3.1401024,-0.0033093444,0.00021429773,-0.0017385612,-0.0005246342,2707.820547932745,1112,30
